DATASET,NG_R2,RD_R2,NG_RMSE,RD_RMSE
ABL1,0.5190079271031667,0.5752625907117291,0.8329835552569737,0.7830240263560508
ABL1,0.5412247211831416,0.5743677930317765,0.8840134783580762,0.8558680955936514
ABL1,0.5513242161050533,0.6058326336288927,0.8389710517911655,0.7897799460882463
ABL1,0.5607272279771383,0.5408855619921038,0.8268587143786037,0.8456004747199914
Aurora-A,0.579284620937486,0.6307393390844567,0.9050756384994072,0.8513805933795987
Aurora-A,0.5707457373469031,0.6375787957663116,0.9127377167124038,0.8417661806519862
Aurora-A,0.5950947258109517,0.6572734455799066,0.9109619848843413,0.8470355966475622
Aurora-A,0.5455645402441619,0.6104668672620973,0.9315362887101007,0.862986443154785
Aurora-A,0.5423545804360803,0.6023820988418856,0.92092111063502,0.859606208359195
Aurora-A,0.5368887020348833,0.5861686322143458,0.915429421274267,0.8670214052622544
Aurora-A,0.5951306926498879,0.647651430595791,0.8679446499052301,0.817653251901341
Aurora-A,0.5896126336018923,0.6308835035621726,0.8746537095193841,0.831741025693003
Aurora-A,0.5644967783286727,0.6250254162411505,0.9195754696545992,0.8590861763547649
Aurora-A,0.5659162945693218,0.6117303687075939,0.8894471074317384,0.8429487089305433
JAK2,0.5980209148143816,0.6254118914121654,0.748693484962294,0.7236461061733424
JAK2,0.5705605610180554,0.6020558167816268,0.75152901984429,0.723888352051656
JAK2,0.5701801614329198,0.63358134507718,0.7713647079590515,0.7215767953376299
JAK2,0.5550317978625126,0.6017692582227633,0.7845388816282286,0.7437415701633977
JAK2,0.5760022620809715,0.6226503445162719,0.7944957642536569,0.7573418038105706
JAK2,0.5717512895502338,0.6110698372401582,0.7472008443175313,0.7139970197731367
JAK2,0.5935730039494607,0.6430032766909736,0.7714088235650987,0.7306293752263832
JAK2,0.5827406087749013,0.6190546136208129,0.7817009417169022,0.751095696230333
JAK2,0.6366861834416425,0.6720035855981576,0.7611781725996406,0.7241861847315234
JAK2,0.5916758738553001,0.6412546587873723,0.7728448575207566,0.732074273735507
Carbonic,0.8257926936551436,0.8113569156697343,0.5800980927982528,0.5953324329999621
Carbonic,0.7487406641812054,0.7791018556722596,0.6451306406524349,0.6073262424336556
Carbonic,0.7574014096907616,0.7311899847336967,0.5985501465301437,0.6291339240553895
Carbonic,0.7478981705757527,0.7686644786974428,0.6113255041160276,0.5839309623300043
Carbonic,0.7714008441234199,0.7762866446191109,0.6292274863216918,0.6225390121539952
Carbonic,0.7366567775403002,0.7604456362250877,0.6572394674125691,0.6268399894569191
Carbonic,0.8018361781379627,0.7803326159426883,0.5630562510584111,0.5925043399967935
Carbonic,0.7649138947017633,0.8037275218797175,0.6511045390405382,0.5959328301599434
Carbonic,0.7721522518685303,0.8079276975539285,0.6413939599427766,0.5905961086160437
Carbonic,0.7666990914977356,0.7603083007181657,0.5970386150371932,0.6053193023324932
LCK,0.5454975720168405,0.5531549850383548,0.850784733415527,0.8454612102050109
LCK,0.5259542920962076,0.5691342586060251,0.8985258051160165,0.8592193974936537
LCK,0.5576249118084875,0.6092802425569802,0.8383266506635104,0.7930544992726846
LCK,0.5520140787017813,0.6149344755014796,0.8766352191819795,0.8173294808123218
LCK,0.5374996938190758,0.5847684492072316,0.8933198659665267,0.8489049694520866
LCK,0.5744301335441748,0.608140699732754,0.8394565849945399,0.8153560484098364
LCK,0.5688955947149368,0.6067420506710698,0.8611229557745919,0.8261492171746827
LCK,0.5501079173361195,0.5717944960882584,0.9020760319500414,0.8805135336568396
LCK,0.5746026448707086,0.5967854557532045,0.8342684172811555,0.8168751621979329
LCK,0.5691294679668203,0.591450565123422,0.8570562805477223,0.8369803324178701
Glycogen,0.5212952539810591,0.545114478433236,0.8039652638077857,0.7847762858123439
Glycogen,0.4923619152835584,0.5449237666981054,0.8377502908460966,0.7965824825937239
Glycogen,0.4896125207720889,0.5710717224605931,0.825517658701437,0.7636253989010009
Glycogen,0.5078581901789678,0.5237763039593377,0.8353126555484082,0.8259883418166016
Glycogen,0.5136214051145472,0.5761326810199924,0.8524067721629449,0.8057984780480347
Glycogen,0.5067610055244166,0.5545540827506577,0.8080343324824301,0.7740608339929822
Glycogen,0.48609435370341564,0.550246166966201,0.8028123223161497,0.7533567797340646
Glycogen,0.5456882381084417,0.5997289616426779,0.8060412015426937,0.7629959944861858
